target,ra_1,dec_1,observable,phot_g_mean_mag,phot_variable_flag,matched_transits,index,oid,ra_2,dec_2,designation_01
Gaia DR3 1671376219613009408,13h55m15.45365848s,66d07m00.58662981s,True,9.065795,VARIABLE,40,92011,845204400035983,208.8098036,66.1168144,Gaia DR3 1671376219613009408
Gaia DR3 1752383627847639424,20h27m02.14485152s,9d05m31.70075925s,True,7.5187955,VARIABLE,44,37380,542202200059581,306.7607612,9.0920254,Gaia DR3 1752383627847639424
Gaia DR3 1806841446648102912,20h07m31.55323434s,14d24m10.3342168s,True,9.559292,VARIABLE,64,37379,541213400087132,301.8833838,14.4028064,Gaia DR3 1806841446648102912
Gaia DR3 1810953585765165312,20h36m39.36150423s,16d20m07.91011209s,True,9.986949,VARIABLE,68,43633,593203200062482,309.1623884,16.3368329,Gaia DR3 1810953585765165312
Gaia DR3 1817679706409974400,20h38m30.17296589s,21d19m43.99797435s,True,9.281633,VARIABLE,45,43634,593215300071081,309.624333,21.3307423,Gaia DR3 1817679706409974400
Gaia DR3 1824001215430918784,19h42m24.78838931s,17d31m19.47504137s,True,9.368737,VARIABLE,66,42033,591307400188312,295.6017456,17.5238323,Gaia DR3 1824001215430918784
Gaia DR3 1824382436723547008,19h41m43.72560102s,18d19m20.92265813s,True,10.749174,VARIABLE,60,94739,1587216100082637,295.4324893,18.3203718,Gaia DR3 1824382436723547008
Gaia DR3 1824762279281819008,19h48m44.24838431s,19d39m39.76998174s,True,7.3357525,VARIABLE,47,41523,591110400144779,297.1868266,19.6610469,Gaia DR3 1824762279281819008
Gaia DR3 1827066894309530496,19h56m31.41105894s,21d44m31.74550871s,True,9.333734,VARIABLE,50,95194,1637108100076100,299.132716,21.7402595,Gaia DR3 1827066894309530496
Gaia DR3 1829602265064012928,20h09m39.59148151s,21d04m43.48521447s,True,8.327987,VARIABLE,82,43310,592215400131286,302.4180182,21.0786811,Gaia DR3 1829602265064012928
Gaia DR3 1831126767977376000,20h23m24.90854368s,23d40m11.00525982s,True,7.940742,VARIABLE,67,48620,641104100077715,305.8512986,23.6688334,Gaia DR3 1831126767977376000
Gaia DR3 1852409297303706752,21h01m43.48808082s,29d37m48.38052886s,True,7.9927506,VARIABLE,70,48626,642215100062846,315.4332028,29.6284089,Gaia DR3 1852409297303706752
Gaia DR3 1862325719653172736,20h36m37.15128253s,30d47m23.48470091s,True,9.171778,VARIABLE,71,95977,1685110100072576,309.1527744,30.7912095,Gaia DR3 1862325719653172736
Gaia DR3 1864999220843139840,20h59m31.12312497s,32d11m47.22725439s,True,9.345343,VARIABLE,73,56433,688206300097180,314.8817309,32.1980599,Gaia DR3 1864999220843139840
Gaia DR3 1868047509447500032,21h09m53.09458507s,35d29m29.87802048s,True,9.066717,VARIABLE,67,56877,688213400076954,317.4733962,35.4916128,Gaia DR3 1868047509447500032
Gaia DR3 1869422453048750336,20h48m16.62723322s,34d27m24.16702519s,True,11.053311,VARIABLE,63,56874,688211200110295,312.06825,34.4587591,Gaia DR3 1869422453048750336
Gaia DR3 1869678158220296448,20h55m06.44906798s,35d22m38.02543851s,True,10.230141,VARIABLE,62,96803,1729206300099285,313.7781878,35.3752732,Gaia DR3 1869678158220296448
Gaia DR3 1872140617588396160,21h04m35.8283918s,38d46m00.06125094s,True,10.984036,VARIABLE,62,65743,730205300098143,316.1468816,38.7666321,Gaia DR3 1872140617588396160
Gaia DR3 1964081157122239104,21h20m14.14800828s,37d50m44.95923318s,True,11.743555,VARIABLE,64,96927,1730211300070652,320.0574359,37.8470561,Gaia DR3 1964081157122239104
Gaia DR3 1970997845483167232,21h29m14.85051778s,44d20m17.23272067s,True,7.5108438,VARIABLE,55,70227,769102300077496,322.3151259,44.3379734,Gaia DR3 1970997845483167232
Gaia DR3 1971821963809808768,21h12m50.32752545s,44d56m10.25183509s,True,10.013537,VARIABLE,55,70233,769104100084132,318.2073198,44.9361196,Gaia DR3 1971821963809808768
Gaia DR3 1974581085151532800,21h46m18.73571069s,46d27m10.8498846s,True,9.051226,VARIABLE,57,71108,769305400099956,326.5757577,46.4545304,Gaia DR3 1974581085151532800
Gaia DR3 1976314018558878720,21h52m47.81205525s,48d01m20.76198871s,True,9.592781,VARIABLE,65,71411,770112400045617,328.1954543,48.0224942,Gaia DR3 1976314018558878720
Gaia DR3 1978781528814224000,21h39m46.46464901s,48d32m23.82524219s,True,9.40612,VARIABLE,59,98030,1805202100115484,324.9475676,48.5406215,Gaia DR3 1978781528814224000
Gaia DR3 2020744321390496256,19h45m23.26191779s,24d19m29.96088604s,True,8.618449,VARIABLE,78,95180,1636110100067372,296.3444037,24.323831,Gaia DR3 2020744321390496256
Gaia DR3 2028000853284283904,19h50m24.42057398s,27d27m55.72658736s,True,10.8953,VARIABLE,68,95883,1684203200058167,297.5997573,27.4656077,Gaia DR3 2028000853284283904
Gaia DR3 2028145473427809152,19h45m04.17607298s,27d38m33.02884422s,True,11.860818,VARIABLE,65,47097,639109200114752,296.2649767,27.6435725,Gaia DR3 2028145473427809152
Gaia DR3 2028294667765054464,19h46m15.93536694s,28d16m18.98257474s,True,10.023361,VARIABLE,64,95880,1684108400152307,296.5687899,28.2718228,Gaia DR3 2028294667765054464
Gaia DR3 2028593288240985216,19h50m08.32232693s,28d08m01.05207609s,True,10.65159,VARIABLE,60,95907,1684207300158288,297.5367031,28.1346843,Gaia DR3 2028593288240985216
Gaia DR3 2028715741997466496,19h49m24.92608143s,28d56m08.81543071s,True,9.954044,VARIABLE,57,48612,640116300133910,297.3558796,28.935943,Gaia DR3 2028715741997466496
Gaia DR3 2028838170096747392,19h52m28.2452209s,29d25m07.64433344s,True,10.944259,VARIABLE,56,95904,1684207200053232,298.119892,29.4187726,Gaia DR3 2028838170096747392
Gaia DR3 2031043790377776512,20h04m22.98003248s,32d12m08.27024336s,True,10.934821,VARIABLE,57,54303,686205300150931,301.0936524,32.2024254,Gaia DR3 2031043790377776512
Gaia DR3 2031885290425387648,19h50m16.33018307s,30d01m05.29836468s,True,8.325937,VARIABLE,64,54481,686303400117724,297.5705588,30.0192296,Gaia DR3 2031885290425387648
Gaia DR3 2032127634004036096,19h45m51.9446965s,30d15m50.93954593s,True,9.829396,VARIABLE,51,54453,686303300105019,296.4680367,30.2646379,Gaia DR3 2032127634004036096
Gaia DR3 2032384129459610752,19h36m10.52120462s,29d49m16.5741168s,True,9.157416,VARIABLE,55,53554,685201400165260,294.0412935,29.8196389,Gaia DR3 2032384129459610752
Gaia DR3 2032585580589627392,19h33m24.58444744s,29d57m37.6441858s,True,10.299631,VARIABLE,58,52689,685101300125074,293.3507195,29.9621133,Gaia DR3 2032585580589627392
Gaia DR3 2034672144420990720,19h50m04.11361517s,32d38m24.57944054s,True,8.179488,VARIABLE,53,53691,686107100134600,297.5190451,32.6401042,Gaia DR3 2034672144420990720
Gaia DR3 2035165687706631168,19h50m47.22185619s,33d39m50.23361329s,True,9.672347,VARIABLE,51,54902,686311400195730,297.6947843,33.6644108,Gaia DR3 2035165687706631168
Gaia DR3 2037306711690221312,19h01m17.98865715s,28d24m43.24223619s,True,7.0044274,VARIABLE,51,95552,1682106400047297,285.3276474,28.4121275,Gaia DR3 2037306711690221312
Gaia DR3 2037788984977607040,19h09m33.10688524s,29d21m28.89072109s,True,8.150884,VARIABLE,54,46139,638114100069785,287.3895927,29.357811,Gaia DR3 2037788984977607040
Gaia DR3 2044107118079924992,19h09m05.82049928s,33d14m15.96992294s,True,8.308199,VARIABLE,51,95601,1682113200056954,287.2723346,33.2397143,Gaia DR3 2044107118079924992
Gaia DR3 2055322587671674240,20h09m11.7776831s,33d55m11.76046532s,True,7.849856,VARIABLE,48,53714,686109400055919,302.3013735,33.9198365,Gaia DR3 2055322587671674240
Gaia DR3 2058845629092327040,20h08m53.54401192s,35d30m46.30593329s,True,8.356971,VARIABLE,48,55930,687316300176199,302.2250855,35.5116802,Gaia DR3 2058845629092327040
Gaia DR3 2059011376158159488,20h06m09.94410506s,35d23m09.51152791s,True,8.025995,VARIABLE,50,55123,686313300142371,301.5437203,35.386883,Gaia DR3 2059011376158159488
Gaia DR3 2059034092265125760,20h08m52.54996197s,35d34m48.39246262s,True,10.267556,VARIABLE,49,53730,686113400083488,302.2203329,35.5811209,Gaia DR3 2059034092265125760
Gaia DR3 2059095424401407232,20h06m34.96205829s,35d44m26.16419288s,True,8.220085,VARIABLE,53,55922,687216300126853,301.6435804,35.739004,Gaia DR3 2059095424401407232
Gaia DR3 2059853915630134912,20h03m29.39464076s,36d01m30.41854288s,True,7.0086865,VARIABLE,46,54405,686213300130374,300.8754788,36.0243652,Gaia DR3 2059853915630134912
Gaia DR3 2060508777869902592,20h14m31.76312083s,36d39m39.50639254s,True,7.7629585,VARIABLE,50,96658,1728207200052662,303.6294656,36.6624671,Gaia DR3 2060508777869902592
Gaia DR3 2060892644866832512,20h14m03.29796891s,37d45m29.97356174s,True,9.513655,VARIABLE,47,96603,1728111300079409,303.5119077,37.7593111,Gaia DR3 2060892644866832512
Gaia DR3 2061291595788070656,20h19m32.41982217s,38d43m53.89922745s,True,7.7687335,VARIABLE,51,96602,1728111100066904,304.8889749,38.7313389,Gaia DR3 2061291595788070656
Gaia DR3 2061310596723770752,20h18m59.39013071s,38d57m14.23229915s,True,9.885649,VARIABLE,53,65233,729306300035561,304.7492025,38.9514217,Gaia DR3 2061310596723770752
Gaia DR3 2061426663907123584,20h23m01.49523208s,39d20m40.47734272s,True,8.916594,VARIABLE,48,63942,729106400036668,305.7544518,39.3445384,Gaia DR3 2061426663907123584
Gaia DR3 2061531358019903360,20h09m17.21342327s,37d30m07.81001746s,True,9.609524,VARIABLE,54,63985,729203300136827,302.3241493,37.5022571,Gaia DR3 2061531358019903360
Gaia DR3 2061666013858471296,20h12m23.19107351s,38d03m50.20703375s,True,9.6675205,VARIABLE,47,63932,729103100072093,303.0982715,38.0652876,Gaia DR3 2061666013858471296
Gaia DR3 2061703740852988928,20h13m29.00762396s,38d28m45.90298715s,True,8.185679,VARIABLE,48,64955,729303100165334,303.3731477,38.4806273,Gaia DR3 2061703740852988928
Gaia DR3 2062418595204547584,20h14m26.07701737s,40d19m44.96028221s,True,7.327791,VARIABLE,54,65402,729307100118174,303.6056976,40.3308249,Gaia DR3 2062418595204547584
Gaia DR3 2062599636658625024,20h13m01.16757602s,41d01m42.02066769s,True,9.946217,VARIABLE,42,63953,729111400070719,303.2565002,41.0303713,Gaia DR3 2062599636658625024
Gaia DR3 2071578867082477056,20h36m40.33255794s,47d27m52.65221746s,True,10.75072,VARIABLE,47,97469,1768116100047130,309.1692254,47.4662006,Gaia DR3 2071578867082477056
Gaia DR3 2083681294654108672,20h32m25.57408622s,48d12m59.40203432s,True,6.939692,VARIABLE,41,69757,768212400085730,308.110178,48.2184479,Gaia DR3 2083681294654108672
Gaia DR3 2131713906777354368,18h52m28.75412258s,48d24m14.02684884s,True,9.801329,VARIABLE,44,68494,765110300033241,283.1168674,48.4036708,Gaia DR3 2131713906777354368
Gaia DR3 2163498962572980864,20h59m42.50539689s,45d47m58.84999097s,True,10.913905,VARIABLE,54,97470,1768210100070071,314.9291201,45.8015607,Gaia DR3 2163498962572980864
Gaia DR3 2163538721111194240,21h00m34.20264379s,46d14m49.83397597s,True,9.965198,VARIABLE,49,69712,768205300122656,315.1406434,46.2448627,Gaia DR3 2163538721111194240
Gaia DR3 2163574661395444864,21h03m53.79918391s,46d19m49.93277094s,True,7.76459,VARIABLE,55,69678,768105300084698,315.9713761,46.3323741,Gaia DR3 2163574661395444864
Gaia DR3 2166381130468439424,20h51m44.06956052s,46d01m48.10602442s,True,10.405037,VARIABLE,51,69685,768106300071397,312.9344445,46.0321085,Gaia DR3 2166381130468439424
Gaia DR3 2166458435560706816,20h49m54.65003194s,46d39m40.79489243s,True,6.326469,VARIABLE,38,69989,768306300085056,312.4738311,46.6614158,Gaia DR3 2166458435560706816
Gaia DR3 2171346005266321024,21h36m59.27905314s,50d31m43.52305122s,True,8.397928,VARIABLE,60,71107,769214400097852,324.2447225,50.5264327,Gaia DR3 2171346005266321024
Gaia DR3 2187513980151757824,20h34m33.36683386s,57d55m40.38603326s,True,8.049823,VARIABLE,65,77979,801316100043410,308.6439282,57.9280679,Gaia DR3 2187513980151757824
Gaia DR3 2192081458836612096,21h24m19.23756739s,61d16m16.86321722s,True,8.762259,VARIABLE,57,88947,830108100052359,321.08485,61.27133,Gaia DR3 2192081458836612096
Gaia DR3 4107099624025718400,18h40m32.17709666s,-10d43m07.00352585s,True,9.327803,VARIABLE,26,28720,384107100158747,280.1323027,-10.7167724,Gaia DR3 4107099624025718400
Gaia DR3 4203391652582474752,18h47m24.17973145s,-9d18m29.58660243s,True,9.1477995,VARIABLE,23,28722,384110400183486,281.8521888,-9.3094618,Gaia DR3 4203391652582474752
Gaia DR3 4206152977294739456,19h03m11.83953852s,-6d09m30.4499489s,True,11.1786785,VARIABLE,25,31633,436202400195192,285.7987776,-6.1611893,Gaia DR3 4206152977294739456
Gaia DR3 4210452823640238720,19h44m58.41472591s,-3d58m50.50567793s,True,10.233133,VARIABLE,75,33138,438208400077317,296.2450339,-3.9806577,Gaia DR3 4210452823640238720
Gaia DR3 4247149436536107264,20h06m37.44902716s,3d51m46.05928274s,True,10.187288,VARIABLE,66,34231,490107100053971,301.657413,3.863563,Gaia DR3 4247149436536107264
Gaia DR3 4253912390818107904,18h59m52.58707353s,-5d36m28.75400045s,True,11.874299,VARIABLE,26,93812,1430111300185580,284.9713272,-5.607957,Gaia DR3 4253912390818107904
Gaia DR3 4255636768647153536,18h53m57.84097867s,-3d48m49.05202996s,True,11.362258,VARIABLE,24,32478,436207400180540,283.4899734,-3.8124536,Gaia DR3 4255636768647153536
Gaia DR3 4268954981201145344,19h06m05.3934235s,3d15m58.9708816s,True,8.397388,VARIABLE,26,34220,488307300197592,286.5243264,3.2657848,Gaia DR3 4268954981201145344
Gaia DR3 4301429679916867968,19h42m37.85074569s,9d13m39.01204312s,True,8.502932,VARIABLE,52,36068,541104200116831,295.6603016,9.2275345,Gaia DR3 4301429679916867968
Gaia DR3 4304068194265408512,19h55m11.44595247s,11d57m34.01634646s,True,7.737724,VARIABLE,42,94679,1587202400109946,298.7995163,11.9609991,Gaia DR3 4304068194265408512
Gaia DR3 4405589130813654144,16h12m45.69213755s,-1d43m18.92539795s,True,7.448497,VARIABLE,56,31320,430110400033076,243.1923142,-1.7220362,Gaia DR3 4405589130813654144
Gaia DR3 4421478929255408768,15h18m24.78504864s,2d02m53.08442554s,True,11.301178,VARIABLE,26,33701,479101100051439,229.6058391,2.0478247,Gaia DR3 4421478929255408768
Gaia DR3 4421572147228442112,15h18m36.14865153s,2d04m16.22141948s,True,11.493106,VARIABLE,26,33433,479101100020060,229.6490284,2.0705313,Gaia DR3 4421572147228442112
Gaia DR3 4462172954111816064,16h36m58.19923872s,14d28m30.961653s,True,6.990211,VARIABLE,54,94547,1580106200021478,249.2401618,14.4753619,Gaia DR3 4462172954111816064
Gaia DR3 4475093074737814400,18h09m35.96097298s,7d16m25.76224652s,True,11.1817045,VARIABLE,36,34191,486216400085821,272.3990198,7.2753176,Gaia DR3 4475093074737814400
Gaia DR3 4484676108846235904,18h17m52.08832511s,11d52m39.79713582s,True,7.026567,VARIABLE,25,94629,1584204400060980,274.4693896,11.8776315,Gaia DR3 4484676108846235904
Gaia DR3 4484711602456021760,18h19m05.98883383s,12d11m35.81193463s,True,7.0775723,VARIABLE,29,94603,1584103300049529,274.7768743,12.1932607,Gaia DR3 4484711602456021760
Gaia DR3 4484791347109688832,18h15m50.53908793s,12d05m43.9906926s,True,11.965209,VARIABLE,26,94604,1584104400037679,273.9628461,12.0957927,Gaia DR3 4484791347109688832
Gaia DR3 4500997701822869504,17h50m07.62420082s,15d29m43.4881803s,True,7.9888015,VARIABLE,42,39017,587202300054136,267.5333484,15.4941888,Gaia DR3 4500997701822869504
Gaia DR3 4516123820725114624,19h13m19.37175445s,19d23m48.46283502s,True,11.970513,VARIABLE,51,39449,590111400091233,288.330699,19.3968185,Gaia DR3 4516123820725114624
Gaia DR3 4532456245628634624,18h47m34.55726111s,22d50m45.74433148s,True,10.332576,VARIABLE,91,46140,638204300110377,281.8925132,22.8448621,Gaia DR3 4532456245628634624
Gaia DR3 4533643649473060736,19h05m55.64627678s,24d47m38.60113736s,True,9.63947,VARIABLE,77,95178,1635215400109248,286.4839442,24.7933922,Gaia DR3 4533643649473060736
Gaia DR3 4587447357614092416,18h33m54.82771853s,29d27m51.49142955s,True,9.612631,VARIABLE,53,45783,637114200042307,278.476608,29.4625936,Gaia DR3 4587447357614092416
Gaia DR3 4589034532709089664,18h33m57.41098578s,31d38m24.1026107s,True,11.989257,VARIABLE,49,50742,683105400013059,278.48915,31.6400883,Gaia DR3 4589034532709089664
