index,oid,ra,dec,designation_01
0,256107200000916,81.0431903,-24.4890769,Gaia DR3 2957941232276476800
164,259109100004445,108.5003807,-22.522153,Gaia DR3 2927969881041212672
266,259109100029245,107.7569945,-22.5305297,Gaia DR3 2927999365998649728
368,259110400008990,106.5959923,-23.6068707,Gaia DR3 2927469263952955008
469,259209100007832,108.5004539,-22.5223573,Gaia DR3 2927969881041212672
1020,259210400014686,106.5962247,-23.6071207,Gaia DR3 2927469263952955008
1551,260106100026237,113.4470356,-24.4802045,Gaia DR3 5615210766444025472
1671,260109400013269,115.9962131,-23.6521343,Gaia DR3 5615587005576857600
1792,260109400014512,115.9495276,-23.6921662,Gaia DR3 5615586455821106560
1914,260112200003669,108.5005944,-22.5223508,Gaia DR3 2927969881041212672
2038,260114200006109,112.4368417,-20.7404478,Gaia DR3 5620257902771084928
2164,260114300004544,112.9666807,-21.5618002,Gaia DR3 5619967391181281792
2289,260114400008226,113.773259,-21.6504538,Gaia DR3 5619250440881257856
2415,260115200001380,110.3796672,-20.555725,Gaia DR3 2929844513999140608
2540,260115200019483,110.2244799,-21.1663439,Gaia DR3 2929750338261632896
2663,260115200026906,110.6944053,-20.6582578,Gaia DR3 2929795383879276544
2787,260116100013353,109.5145227,-21.0356304,Gaia DR3 2929721403060975232
2911,260212200006057,108.5005717,-22.5224731,Gaia DR3 2927969881041212672
3910,260214200011303,112.4369867,-20.7405941,Gaia DR3 5620257902771084928
4891,260214400014357,113.7734983,-21.6506287,Gaia DR3 5619250440881257856
5918,260215200002526,110.379663,-20.555822,Gaia DR3 2929844513999140608
6808,261112300013687,115.9497469,-23.6923674,Gaia DR3 5615586455821106560
6920,261208200031581,116.1656889,-24.3722284,Gaia DR3 5614697049696235648
7362,261212200019636,115.7520926,-22.9617068,Gaia DR3 5615695822871551232
7808,261212300014498,115.996415,-23.6523759,Gaia DR3 5615587005576857600
8253,261212300015950,115.9497582,-23.6924275,Gaia DR3 5615586455821106560
8698,261216300013511,115.8041401,-21.7206076,Gaia DR3 5712099829855518976
9141,271109200003367,195.2607218,-23.021774,Gaia DR3 3504948988644994432
9242,271209200004605,195.2607469,-23.0217908,Gaia DR3 3504948988644994432
9349,280110300027596,258.074634,-23.8053317,Gaia DR3 4114323346694071168
9450,280210300028312,258.0745923,-23.8053334,Gaia DR3 4114323346694071168
9984,283112200003260,276.6025578,-22.4658391,Gaia DR3 4089934422106291840
10104,283116400016197,277.4882206,-21.6210613,Gaia DR3 4090103334581511296
10221,284111200002651,285.6105425,-22.4791399,Gaia DR3 4081495910878906752
10343,287108200006873,306.0488984,-24.9503685,Gaia DR3 6849002313335584000
10496,287208200010993,306.0489139,-24.9503827,Gaia DR3 6849002313335584000
10643,308110100001789,102.4692235,-15.3263009,Gaia DR3 2948757316587127936
10798,309101200016888,110.6247869,-19.5486713,Gaia DR3 2930489519314499072
10987,309101300018020,110.3794688,-20.5555798,Gaia DR3 2929844513999140608
11176,309101300020948,110.6941847,-20.6580861,Gaia DR3 2929795383879276544
11364,309107100012876,107.6991839,-17.5750202,Gaia DR3 2934751329460841088
11555,309107100013307,107.7611331,-17.589092,Gaia DR3 2934748237084371584
11746,309108100003989,105.8170033,-17.2797659,Gaia DR3 2935291391527731840
11939,309111400008423,107.3348741,-16.3689114,Gaia DR3 2935832626121938944
12132,309114100006050,109.6169673,-13.5327603,Gaia DR3 3032738431339708800
12325,309114100028466,109.6699593,-13.9778238,Gaia DR3 3032644697970894208
12518,309115100017306,107.0035578,-13.9862163,Gaia DR3 3044463004858930560
12712,309201300024173,110.3796488,-20.5557614,Gaia DR3 2929844513999140608
13204,309201300028215,110.6943749,-20.6582663,Gaia DR3 2929795383879276544
13695,309207100018512,107.761183,-17.5891942,Gaia DR3 2934748237084371584
14197,309214100008297,109.6170758,-13.5328446,Gaia DR3 3032738431339708800
14705,309214100025109,109.6700542,-13.9778956,Gaia DR3 3032644697970894208
15213,309215100025218,107.003573,-13.986206,Gaia DR3 3044463004858930560
15722,309314100057261,109.6170773,-13.532889,Gaia DR3 3032738431339708800
15749,309315100032713,107.0035485,-13.9862418,Gaia DR3 3044463004858930560
15777,310103300026445,113.5737831,-20.290185,Gaia DR3 5716266089876304896
15949,310104400026134,112.4370313,-20.7405045,Gaia DR3 5620257902771084928
16124,310106400028797,116.5095854,-18.6917313,Gaia DR3 5716152702738634496
16296,310116400000349,112.7457539,-14.1764582,Gaia DR3 3033186585406814080
16463,310204400039771,112.4370047,-20.7405568,Gaia DR3 5620257902771084928
17040,310206400026040,116.5097005,-18.6919272,Gaia DR3 5716152702738634496
17615,310216400000432,112.7457002,-14.1765206,Gaia DR3 3033186585406814080
18179,311301200010003,124.0425782,-19.3906055,Gaia DR3 5707566272836783872
18202,311316100008033,119.4086716,-13.6063222,Gaia DR3 5725747384797544704
18225,322101200003199,201.8431506,-19.4537903,Gaia DR3 3506814683782851968
18354,322301200004840,201.8432428,-19.4539006,Gaia DR3 3506814683782851968
18378,330106200014438,256.2590075,-17.4894344,Gaia DR3 4129723243958296448
18530,330111400005097,255.2836311,-16.2343605,Gaia DR3 4139090528963788544
18682,330114400007280,257.0478104,-14.4441781,Gaia DR3 4139702858161111040
18833,330206200019978,256.2590185,-17.4894385,Gaia DR3 4129723243958296448
19474,330214400013475,257.04782,-14.4442018,Gaia DR3 4139702858161111040
20117,331101100031575,266.1062514,-19.6315542,Gaia DR3 4119884023727270272
20385,331107300071653,260.9832669,-18.3249972,Gaia DR3 4122794392253089024
20659,331108100022726,260.1661609,-17.4474621,Gaia DR3 4134975056940374272
20935,331108400030410,259.8144071,-18.5196279,Gaia DR3 4122470757881214848
21211,331109300012661,265.2501546,-16.3034635,Gaia DR3 4124125282361429504
21482,331112100053679,260.245278,-15.3669883,Gaia DR3 4137697104137428992
21760,331112400075164,260.2827373,-16.6410465,Gaia DR3 4135303780877021312
22036,331201100036744,266.1062526,-19.6315692,Gaia DR3 4119884023727270272
22748,331207300020741,260.9833044,-18.3250174,Gaia DR3 4122794392253089024
23471,331208400026722,259.8143943,-18.519623,Gaia DR3 4122470757881214848
24191,331209300015095,265.2501705,-16.3034737,Gaia DR3 4124125282361429504
24908,331212100010159,260.2452827,-15.3670042,Gaia DR3 4137697104137428992
25637,332104200035619,266.106219,-19.6315392,Gaia DR3 4119884023727270272
25807,332204200036702,266.1062324,-19.6315603,Gaia DR3 4119884023727270272
26269,332304200086705,266.1062459,-19.6315855,Gaia DR3 4119884023727270272
26438,333101200091282,278.6702197,-19.1254949,Gaia DR3 4093222030592736512
26464,333105200026347,279.1962642,-17.6305565,Gaia DR3 4099494267768340480
26664,333201200006750,278.6702526,-19.1254835,Gaia DR3 4093222030592736512
27078,333205200033716,279.1963027,-17.6305421,Gaia DR3 4099494267768340480
27810,334107400033539,283.3948944,-18.5622094,Gaia DR3 4086743605003890560
27992,334111300009452,282.6090936,-16.2596659,Gaia DR3 4099367785195918976
28175,334116200006632,280.5491408,-13.4532488,Gaia DR3 4105340680314690048
28359,334207400034609,283.3948576,-18.562177,Gaia DR3 4086743605003890560
29003,336112300018005,294.8437091,-16.6786578,Gaia DR3 4180161033474768640
29200,336212300049582,294.8437137,-16.6786359,Gaia DR3 4180161033474768640
29552,359101200003239,106.1173221,-12.0138284,Gaia DR3 3045782380151800064
29781,359101300008026,106.2650609,-13.0332114,Gaia DR3 3044824675465558016
30012,359101300008853,106.5685855,-13.0605504,Gaia DR3 3044780213963949824
30243,359101300010199,106.0462484,-13.1115018,Gaia DR3 3044825912416343808
30474,359116400018969,101.1849474,-7.633659,Gaia DR3 3099009536192446592
30705,359201300011640,106.2651901,-13.0333992,Gaia DR3 3044824675465558016
31058,359201300012813,106.568711,-13.0607473,Gaia DR3 3044780213963949824
31412,359201300014662,106.0463892,-13.1116733,Gaia DR3 3044825912416343808
31766,359216400024381,101.1849522,-7.6337454,Gaia DR3 3099009536192446592
32124,359316400031377,101.1849533,-7.6337167,Gaia DR3 3099009536192446592
32156,360102400003062,112.5031458,-12.8621674,Gaia DR3 3033623847435711616
32391,360103300021653,109.6170682,-13.5328515,Gaia DR3 3032738431339708800
32626,360108100000335,108.5754196,-9.9861212,Gaia DR3 3047880385777694848
32854,360112100011457,108.8028611,-8.516342,Gaia DR3 3048734710612306432
33086,360203300031498,109.6170595,-13.5329265,Gaia DR3 3032738431339708800
33790,360303300039375,109.6170579,-13.5329162,Gaia DR3 3032738431339708800
33818,384113200032508,282.8417472,-6.7145027,Gaia DR3 4252436021577729792
34078,384114400034281,282.0177317,-7.578511,Gaia DR3 4252246703826179456
34330,385111300006460,286.0956827,-9.0086316,Gaia DR3 4202890245256223744
34548,405316300005387,61.7229614,-0.435913,Gaia DR3 3253821426215252992
34566,409102400000107,94.6785212,-5.5657649,Gaia DR3 3020264089659536256
34808,409113300017741,95.0253029,0.0343796,Gaia DR3 3121757263538104960
34935,409202400000334,94.6786187,-5.5658669,Gaia DR3 3020264089659536256
35176,410101200016218,102.1024716,-5.4585661,Gaia DR3 3101943445534625792
35444,410101300004546,102.1542168,-5.7230855,Gaia DR3 3100422271197119488
35714,410102200018794,100.9597796,-5.302101,Gaia DR3 3100685123196031616
35983,410105200012877,102.6993728,-3.3025716,Gaia DR3 3105809259698525056
36249,410112400016747,97.6834619,-2.5434524,Gaia DR3 3117226068742939392
36444,410113200010829,102.3725791,0.5972856,Gaia DR3 3113620293380843008
36713,410115100006758,99.5571696,0.7366976,Gaia DR3 3119828097371908992
36981,410115100014199,99.7550606,0.4336778,Gaia DR3 3119759206096491776
37249,410201300006151,102.1543171,-5.7231875,Gaia DR3 3100422271197119488
37662,410202200023503,100.9598132,-5.3021949,Gaia DR3 3100685123196031616
38078,410213200015270,102.3726896,0.5971606,Gaia DR3 3113620293380843008
38495,410215100009708,99.5571603,0.7366653,Gaia DR3 3119828097371908992
38910,410301300009860,102.1543109,-5.7231972,Gaia DR3 3100422271197119488
38949,410313200020583,102.3726834,0.5971454,Gaia DR3 3113620293380843008
38988,411103200012913,105.7943859,-5.1489401,Gaia DR3 3101360807453133824
39257,411203200017022,105.7943786,-5.1490044,Gaia DR3 3101360807453133824
40019,411303200024317,105.7944217,-5.1490056,Gaia DR3 3101360807453133824
40051,414314400004887,130.1261635,-0.2125978,Gaia DR3 3075141475211375232
40080,431110100003696,249.9700512,-1.1627232,Gaia DR3 4382345695515446016
40299,431210100005015,249.9700591,-1.1627251,Gaia DR3 4382345695515446016
40639,436103100016683,284.1409978,-4.9663682,Gaia DR3 4254206510178791424
40978,436109100069037,287.9057156,-1.3661424,Gaia DR3 4262272046441893632
41320,436203100019926,284.141026,-4.9663793,Gaia DR3 4254206510178791424
42292,436303100017577,284.1410422,-4.9664084,Gaia DR3 4254206510178791424
42417,437112200033461,287.9057249,-1.3661422,Gaia DR3 4262272046441893632
42682,437113300016212,293.7218025,-0.0911475,Gaia DR3 4239339090052622976
42949,460115300013570,94.8177603,6.9055615,Gaia DR3 3324944877749294592
43242,460215300016879,94.8177463,6.905532,Gaia DR3 3324944877749294592
43698,460315300020491,94.8177711,6.9055077,Gaia DR3 3324944877749294592
43741,481105100012048,243.2192709,3.7927709,Gaia DR3 4437179508624910336
44030,481205100008072,243.219298,3.7927559,Gaia DR3 4437179508624910336
44476,481305100020460,243.2193017,3.7927566,Gaia DR3 4437179508624910336
44581,482116200005909,243.8474613,7.5065343,Gaia DR3 4450387082815571584
44859,482216200007048,243.847463,7.5065365,Gaia DR3 4450387082815571584
45276,482316200008417,243.8474799,7.5065415,Gaia DR3 4450387082815571584
45383,484105400012991,264.2617829,3.0604981,Gaia DR3 4377022405672156416
45750,484205400056698,264.2617946,3.0605079,Gaia DR3 4377022405672156416
46391,489115100056329,294.9728058,7.9539547,Gaia DR3 4301041036913485312
46676,489215100022615,294.9728175,7.953934,Gaia DR3 4301041036913485312
47606,511109400034560,88.8101067,12.1334786,Gaia DR3 3343033188355163520
47899,511115300001983,84.6025507,14.4439836,Gaia DR3 3347672405868497536
48192,513103400023639,98.7768925,8.7151794,Gaia DR3 3326366000827239040
48500,513203400027068,98.7769224,8.7151446,Gaia DR3 3326366000827239040
49474,513303400006624,98.7769279,8.7151247,Gaia DR3 3326366000827239040
49515,536104100012857,261.7038197,8.9569838,Gaia DR3 4490565814675117312
49937,536116400008555,261.6397017,13.9424256,Gaia DR3 4542408715637413888
50357,536204100018029,261.7038164,8.9569584,Gaia DR3 4490565814675117312
51165,536216400011586,261.6397133,13.9423803,Gaia DR3 4542408715637413888
52009,537102400018530,272.4133924,8.3901224,Gaia DR3 4481419046166092544
52383,537111400002074,270.6273525,12.633096,Gaia DR3 4496328350819258496
52758,537113400033795,273.905636,14.0981566,Gaia DR3 4497511498354622848
53132,537202400023805,272.4136177,8.3902392,Gaia DR3 4481419046166092544
53958,537211400002766,270.6273735,12.6331877,Gaia DR3 4496328350819258496
54789,537213400021265,273.9056022,14.0982213,Gaia DR3 4497511498354622848
55621,539108100004467,282.6397268,11.5872916,Gaia DR3 4504274796240151808
56105,539111200039047,283.4124256,12.8515064,Gaia DR3 4506140087670908672
56588,539211200112153,283.4123994,12.8515812,Gaia DR3 4506140087670908672
57562,539311200045699,283.4124677,12.8515234,Gaia DR3 4506140087670908672
57724,540102300003755,292.7832153,8.8182603,Gaia DR3 4296333340448931200
58225,540110400034072,293.4110671,12.1535867,Gaia DR3 4315360011251038592
58729,540202300004882,292.7832358,8.8182642,Gaia DR3 4296333340448931200
59748,540210400035151,293.411077,12.1535757,Gaia DR3 4315360011251038592
60750,540302300056566,292.7832492,8.8182372,Gaia DR3 4296333340448931200
60910,540310400034326,293.4110905,12.153567,Gaia DR3 4315360011251038592
60993,541110200007164,299.4625603,13.4398751,Gaia DR3 1807075608271552384
61314,541116400005830,296.8150537,14.5233625,Gaia DR3 4317498149009710848
61630,541210200008945,299.4625886,13.4398641,Gaia DR3 1807075608271552384
62486,541215100000111,298.4489494,15.5106161,Gaia DR3 1819667284160239360
62684,541216400006291,296.815072,14.5233428,Gaia DR3 4317498149009710848
63524,543102300005116,313.5203257,8.5515424,Gaia DR3 1750217486861133440
63919,543302300006990,313.5202659,8.5515552,Gaia DR3 1750217486861133440
64028,560106200006789,74.2287707,18.0964686,Gaia DR3 3406590286197846400
64337,560110400006725,75.1121858,19.1850554,Gaia DR3 3408261165914697344
64646,560206200009973,74.2288338,18.0964156,Gaia DR3 3406590286197846400
65055,560210400011189,75.1122689,19.1849778,Gaia DR3 3408261165914697344
65461,562113100009874,91.8607727,22.0967468,Gaia DR3 3423526544838563328
65787,563116200008897,91.8608715,22.0966447,Gaia DR3 3423526544838563328
66124,563216200040107,91.8611691,22.0964955,Gaia DR3 3423526544838563328
66855,564303200026100,101.5484187,16.1339596,Gaia DR3 3357895488887646720
66887,565301100011868,113.0178492,16.2591342,Gaia DR3 3168749806393138560
66916,585105300004117,255.0685433,17.5610728,Gaia DR3 4558674061726907136
67439,586116200004324,256.6923298,22.0978618,Gaia DR3 4568163710366782848
67837,586216200015844,256.6923214,22.0978102,Gaia DR3 4568163710366782848
68469,586316200007616,256.6923148,22.0978498,Gaia DR3 4568163710366782848
68642,587113400008148,270.3644331,21.2470638,Gaia DR3 4576121253979570944
69424,587213400011734,270.3644418,21.2470626,Gaia DR3 4576121253979570944
70412,587301400046261,270.7508888,15.2350076,Gaia DR3 4501491966662718720
70496,587313400014348,270.3644552,21.2470882,Gaia DR3 4576121253979570944
70585,589105400066047,285.0705268,17.2439508,Gaia DR3 4514131303826240640
70930,589115200021391,279.8796346,22.0351786,Gaia DR3 4531981737643983104
71279,589215200028798,279.8796497,22.035202,Gaia DR3 4531981737643983104
72079,590108100029672,286.1609775,18.3537644,Gaia DR3 4514684839222096768
72635,590111400091233,288.330699,19.3968185,Gaia DR3 4516123820725114624
73188,590112300047641,285.7165477,19.7309551,Gaia DR3 4518106656825619712
73741,590208100070767,286.1609338,18.3538537,Gaia DR3 4514684839222096768
74644,590212300098491,285.7165227,19.7310649,Gaia DR3 4518106656825619712
75555,590308100030363,286.1609896,18.3537342,Gaia DR3 4514684839222096768
75714,591101300033736,298.4489421,15.5106085,Gaia DR3 1819667284160239360
76259,591103300015747,294.9833892,15.8096591,Gaia DR3 4318733072393451904
76801,591106200004264,297.0853243,18.787206,Gaia DR3 1824564367190357120
77332,591109300109488,299.0096801,19.1730518,Gaia DR3 1823128851678705280
77877,591113100021421,300.000032,22.2479335,Gaia DR3 1827037654207752320
78421,591201300035254,298.4489568,15.5105945,Gaia DR3 1819667284160239360
79364,591203300014867,294.9833997,15.8096298,Gaia DR3 4318733072393451904
80302,591213100022528,299.9999912,22.2479774,Gaia DR3 1827037654207752320
81255,591301300035246,298.4489762,15.510583,Gaia DR3 1819667284160239360
81414,591303300015236,294.9834125,15.8096368,Gaia DR3 4318733072393451904
81573,591306200055829,297.085346,18.7871564,Gaia DR3 1824564367190357120
81696,591313100023050,300.0000342,22.2479051,Gaia DR3 1827037654207752320
81855,592104100033427,300.8222155,16.3119517,Gaia DR3 1808137014947486208
82239,592114200023369,304.2483471,22.1530513,Gaia DR3 1829393667086673280
82620,592116200023681,300.0000169,22.2479251,Gaia DR3 1827037654207752320
83002,592204100039710,300.8222187,16.3119413,Gaia DR3 1808137014947486208
83989,592214200029479,304.2483526,22.1530324,Gaia DR3 1829393667086673280
84972,592216200065987,300.0000146,22.2479286,Gaia DR3 1827037654207752320
85954,592316200076244,300.0000531,22.2478992,Gaia DR3 1827037654207752320
85969,593108300011271,307.3437731,17.6511572,Gaia DR3 1812089690515655552
86387,593208300013052,307.3437826,17.6511574,Gaia DR3 1812089690515655552
87319,593308300013841,307.3437642,17.6511922,Gaia DR3 1812089690515655552
87433,594313300009299,320.004629,21.4015751,Gaia DR3 1790697141308520448
87546,612115300008622,89.9494883,28.6437415,Gaia DR3 3431508586940946048
87868,617315200005774,127.0926417,29.8587864,Gaia DR3 707988838639921280
87903,628315400001430,209.9995815,28.9062701,Gaia DR3 1452817080654395392
88020,633106300000199,248.7681114,25.1634035,Gaia DR3 1300915941504465792
88841,633206300009494,248.7681244,25.1633653,Gaia DR3 1300915941504465792
89729,633306300000348,248.7681333,25.1633982,Gaia DR3 1300915941504465792
89858,634108100003674,253.2637654,25.4908188,Gaia DR3 1306158589041469184
90947,634208100007708,253.2637612,25.4907929,Gaia DR3 1306158589041469184
92016,634308100008851,253.2637682,25.4908164,Gaia DR3 1306158589041469184
92201,634313300001062,258.8204399,28.9136732,Gaia DR3 4575529957234615040
92381,636209400008847,274.875156,26.7041397,Gaia DR3 4585932569888590464
93143,637105100002081,282.2683374,25.9426767,Gaia DR3 4537573097864377088
93620,637111100002311,277.9357128,27.8653211,Gaia DR3 4587005006040801664
94104,637112300006320,274.8751294,26.7041865,Gaia DR3 4585932569888590464
94584,637205100002900,282.2683446,25.9426361,Gaia DR3 4537573097864377088
95308,637212300010167,274.875155,26.7040963,Gaia DR3 4585932569888590464
96169,638108200003032,282.2683157,25.9426492,Gaia DR3 4537573097864377088
96524,638110400042098,287.5708141,26.9732433,Gaia DR3 2036497952170980736
96880,638115400023343,285.4539033,28.3705862,Gaia DR3 2037308360956406272
97237,638208200003870,282.2683001,25.9427059,Gaia DR3 4537573097864377088
98146,638210400053044,287.5708435,26.9733399,Gaia DR3 2036497952170980736
99056,638215400025998,285.45389,28.3706455,Gaia DR3 2037308360956406272
99960,639107300032275,292.120723,24.6235177,Gaia DR3 2022875655978795136
100544,639110300009661,294.1308643,26.9419987,Gaia DR3 2025048840723754240
101125,639110300039364,293.7808708,26.4537472,Gaia DR3 2024963284967616256
101706,639113200020560,296.2802871,29.4569839,Gaia DR3 2031787953645416704
102276,639113200024496,295.786677,29.3944814,Gaia DR3 2031597635052376576
102847,639210300057693,294.1308947,26.9420134,Gaia DR3 2025048840723754240
103696,639213200021208,296.28031,29.4569817,Gaia DR3 2031787953645416704
104542,639313200020731,296.280326,29.456964,Gaia DR3 2031787953645416704
104711,640109400015823,304.7627342,26.7282436,Gaia DR3 1835878170037853440
105295,640209400019006,304.7627778,26.7283265,Gaia DR3 1835878170037853440
106373,641108100031391,305.7462478,25.4454213,Gaia DR3 1832689281393306496
106817,641112300017335,304.7627409,26.7282308,Gaia DR3 1835878170037853440
107260,641208100062512,305.7463105,25.4454012,Gaia DR3 1832689281393306496
108515,641212300019554,304.7627503,26.7282405,Gaia DR3 1835878170037853440
109764,643113200004033,325.8041524,29.5586965,Gaia DR3 1801402437491191808
110691,643213200006469,325.8041791,29.558704,Gaia DR3 1801402437491191808
111840,643313200006249,325.8041596,29.5587267,Gaia DR3 1801402437491191808
112047,656106300008327,63.5442314,31.6691885,Gaia DR3 169458931096116352
112406,659101200009526,88.6180504,30.8994314,Gaia DR3 3444099365170888192
112745,659106200023223,86.395497,32.8208052,Gaia DR3 3448292322700683264
113086,660104300043874,90.683525,30.1265682,Gaia DR3 3437761402188634752
113088,675112100001354,209.150818,34.8258559,Gaia DR3 1482887525379428224
113647,675212100002906,209.1508202,34.825852,Gaia DR3 1482887525379428224
114257,675312100003199,209.1508127,34.8258361,Gaia DR3 1482887525379428224
114470,681307400012489,258.6057048,31.5834933,Gaia DR3 1333493685058234880
114665,681314300011045,259.1943631,35.5458745,Gaia DR3 1336799091888985600
114867,683105400013059,278.48915,31.6400883,Gaia DR3 4589034532709089664
115835,684108300020415,278.48919,31.6400435,Gaia DR3 4589034532709089664
116800,684111100005860,281.9467192,34.8923519,Gaia DR3 2091640105260286208
117757,684208300027913,278.4891254,31.6400821,Gaia DR3 4589034532709089664
118927,684211100029024,281.9467994,34.8923368,Gaia DR3 2091640105260286208
120102,684311100029535,281.946781,34.8923306,Gaia DR3 2091640105260286208
120189,685101400008532,293.9807016,30.2783518,Gaia DR3 2032684811511079936
120623,685101400012066,294.3884071,30.203856,Gaia DR3 2032490090563564288
121057,685201400014227,294.3885445,30.203912,Gaia DR3 2032490090563564288
121918,685201400057147,293.980861,30.2784148,Gaia DR3 2032684811511079936
122780,686104300013030,294.3883889,30.2038464,Gaia DR3 2032490090563564288
123395,686104400028026,295.1581431,29.9775052,Gaia DR3 2032435939600614656
124007,686104400066923,295.7732805,30.0132412,Gaia DR3 2032052351837104128
124621,686110300011075,299.3256331,34.1009339,Gaia DR3 2035249147499971840
125253,686112100017724,295.7864305,34.8379381,Gaia DR3 2047353396121717376
125882,686114100024172,299.6690316,36.6708722,Gaia DR3 2059808595139461376
126510,686114300009452,298.7499904,36.0442725,Gaia DR3 2059678646610374272
127142,686114400033215,299.7621154,35.6026879,Gaia DR3 2059500388281433344
127775,686204300012584,294.3883689,30.2038582,Gaia DR3 2032490090563564288
128635,686204400025141,295.7732135,30.01323,Gaia DR3 2032052351837104128
129480,686204400026444,295.1581019,29.9775162,Gaia DR3 2032435939600614656
130325,686210300056235,299.3256576,34.1009456,Gaia DR3 2035249147499971840
131212,686212100018933,295.786423,34.8379494,Gaia DR3 2047353396121717376
132098,686214100101762,299.6690373,36.6709103,Gaia DR3 2059808595139461376
132969,686214300050990,298.7499709,36.0443206,Gaia DR3 2059678646610374272
133839,686214400032666,299.7620984,35.6026943,Gaia DR3 2059500388281433344
134728,686304300012405,294.3884093,30.2038306,Gaia DR3 2032490090563564288
134888,686304400025839,295.773106,30.0132568,Gaia DR3 2032052351837104128
135041,686304400076122,295.1580327,29.9775346,Gaia DR3 2032435939600614656
135194,686310300061574,299.3256769,34.1009393,Gaia DR3 2035249147499971840
135354,686312100067646,295.7864354,34.8379944,Gaia DR3 2047353396121717376
135516,686314100145853,299.6690377,36.670883,Gaia DR3 2059808595139461376
135678,686314300008593,298.7499962,36.0442726,Gaia DR3 2059678646610374272
135837,686314400031644,299.7621136,35.6026883,Gaia DR3 2059500388281433344
135998,688108100006746,310.5518211,33.0915403,Gaia DR3 1863242785381594112
136058,688111200004791,311.8917413,35.0803841,Gaia DR3 1869515361783889664
136545,688114200013880,314.5663029,36.7780159,Gaia DR3 1871538566251052800
137028,688214200017185,314.5663511,36.7779858,Gaia DR3 1871538566251052800
138165,689111200022956,320.2151907,34.3479492,Gaia DR3 1855264729003293824
138595,689211200031078,320.2151838,34.3479309,Gaia DR3 1855264729003293824
139591,690106400010093,331.203019,31.567202,Gaia DR3 1898657883100188544
140104,690206400016892,331.2031068,31.5671822,Gaia DR3 1898657883100188544
140883,692314100015897,346.3399442,36.9175556,Gaia DR3 1915930798455044096
140978,698308100001059,34.1989275,40.3267625,Gaia DR3 332931364976466304
141035,702109400005210,76.3469309,41.1654407,Gaia DR3 200896515455915648
141443,703106400007193,82.0926477,39.1772765,Gaia DR3 190689950872633856
141835,712301100003955,162.3037954,38.0041644,Gaia DR3 775796304839770880
141901,713304200004529,162.3037718,38.0041656,Gaia DR3 775796304839770880
141970,725106100002399,271.4962756,40.2195123,Gaia DR3 2112562574587422976
143055,725305100014920,273.8046298,39.709437,Gaia DR3 2109335787135270400
143168,726105200011461,281.1648118,39.6487589,Gaia DR3 2098226081131178880
144282,726114100003140,280.0972918,43.9390853,Gaia DR3 2117150840907657216
145403,726116100004502,275.4198109,43.7024409,Gaia DR3 2115021426183430144
146512,726205200017178,281.1648158,39.6487921,Gaia DR3 2098226081131178880
147813,726214100005429,280.097282,43.9391682,Gaia DR3 2117150840907657216
149116,726216100017270,275.4197981,43.7024707,Gaia DR3 2115021426183430144
150399,726305200034904,281.1648726,39.6487112,Gaia DR3 2098226081131178880
150477,726308200027283,273.8046117,39.7094158,Gaia DR3 2109335787135270400
